Metabolite	PRISM|7122	PRISM|7147	PRISM|7150	PRISM|7153	PRISM|7184	PRISM|7238	PRISM|7406	PRISM|7408	PRISM|7421	PRISM|7445	PRISM|7486	PRISM|7547	PRISM|7658	PRISM|7662	PRISM|7744	PRISM|7759	PRISM|7791	PRISM|7843	PRISM|7847	PRISM|7855	PRISM|7858	PRISM|7860	PRISM|7861	PRISM|7862	PRISM|7870	PRISM|7874	PRISM|7875	PRISM|7879	PRISM|7899	PRISM|7904	PRISM|7906	PRISM|7908	PRISM|7909	PRISM|7910	PRISM|7911	PRISM|7912	PRISM|7938	PRISM|7941	PRISM|7947	PRISM|7948	PRISM|7955	PRISM|7971	PRISM|7989	PRISM|8095	PRISM|8226	PRISM|8244	PRISM|8264	PRISM|8283	PRISM|8332	PRISM|8336	PRISM|8361	PRISM|8374	PRISM|8377	PRISM|8406	PRISM|8452	PRISM|8462	PRISM|8466	PRISM|8467	PRISM|8475	PRISM|8483	PRISM|8485	PRISM|8496	PRISM|8523	PRISM|8534	PRISM|8537	PRISM|8550	PRISM|8564	PRISM|8565	PRISM|8573	PRISM|8577	PRISM|8589	PRISM|8591	PRISM|8592	PRISM|8624	PRISM|8629	PRISM|8675	PRISM|8683	PRISM|8746	PRISM|8749	PRISM|8753	PRISM|8754	PRISM|8758	PRISM|8764	PRISM|8765	PRISM|8774	PRISM|8776	PRISM|8783	PRISM|8784	PRISM|8788	PRISM|8789	PRISM|8794	PRISM|8800	PRISM|8802	PRISM|8806	PRISM|8807	PRISM|8841	PRISM|8843	PRISM|8847	PRISM|8878	PRISM|8892	PRISM|9126	PRISM|9148
stearoyl ethanolamide	1262.86	16.5339	28.3743	128.748	660.859	465.82	0	762.698	202.807	164.021	230.913	303.598	300.623	9.50449	17.0604	238.07	283.667	58.4822	34.6994	35.0697	249.086	205.642	169.951	132.119	134.944	0	131.274	0	215.95	21.6266	33.5596	175.439	29.2006	148.75	399.204	15.6633	78.9516	183.033	454.42	610.594	104.966	0	146.74	307.048	82.1726	783.856	0	0	87.8371	34.8689	485.906	582.605	582.652	95.8034	186.034	588.249	354.95	220.31	89.9847	391.154	926.552	948.726	74.8974	101.676	142.474	397.63	211.822	140.393	131.551	82.3547	95.8267	365.372	544.475	735.97	179.874	118.264	16.2189	35.2252	38.3105	537.177	27.8924	314.335	15.1253	0	95.2024	47.9547	499.007	68.3854	34.9149	23.7776	73.9253	379.002	103.785	111.404	143.254	0	523.031	982.589	516.872	320.857	188.008	94.7954
suberate	78.2271	42.5463	235.723	16.833	59.3884	12.5557	3.79424	42.1342	84.0037	21.3694	33.071	48.1515	75.3855	257.443	214.185	50.6963	151.849	22.2639	99.6068	83.2367	112.309	161.116	271.683	99.5418	206.2	217.672	11.7342	578.237	263.413	380.722	43.2383	81.6449	354.527	450.997	99.4232	211.671	191.766	95.4684	38.8731	26.9064	121.135	37.2686	9.46961	37.1665	9.54359	55.5076	7.91841	48.3789	86.8174	13.87	84.2933	34.2346	120.071	64.3346	89.6955	62.1531	91.5707	104.573	81.65	57.7445	37.7944	23.3556	14.4629	9.68422	20.7284	25.832	37.4036	23.91	61.0208	146.366	103.909	28.9259	47.3074	83.885	22.0494	59.1712	25.7923	0	7.22309	50.9675	76.0088	6.09957	34.6572	238.493	71.4627	21.0151	21.1053	38.7564	46.8561	191.982	27.0274	64.7752	57.0641	15.6742	49.0206	8.85477	4.83033	114.583	17.3301	48.1449	79.9151	88.7362
succite	3971.72	304.615	5562.84	859.569	1778.24	248.211	4121.43	1426.52	2239.85	15081.4	2998.37	1223.72	2877.48	4202.48	180.429	5546.67	3438.02	5535.41	4656.12	4478.29	2696.6	1120.4	3098.5	1524.13	445.694	5978.28	5048.98	1077.01	1835.26	2974.02	2693.88	5720.1	1767.83	3256.02	2923.68	1696.12	10887.7	1017.58	6670.95	942.66	14980.4	3475.31	39550.7	3835.46	26468.2	1850.73	10683.3	796.466	905.573	11565.2	4871.24	1398.01	3007.19	3323.35	4981.07	976.124	1139.92	7076.16	3453.2	1255.63	395.6	29539.4	12520.6	13602.9	6572.41	16431.6	2202.17	16897.2	5738.34	2008.22	1758.51	1676.98	2930.25	2818.19	4512.09	33226.2	23868	17412.9	5492.9	3688.79	1029.27	238.57	1173.9	1623.13	2663.66	611.476	557.589	609.632	1351.3	765.755	1847.85	3219.03	1997.51	450.67	16389.7	33565	643.947	653.842	1850.49	2212.8	28493.5	8649.51
tartarate	8.16617	19.6743	4.07029	24.172	7.76224	6.35739	166.857	15.4275	27.8963	52.2205	144.844	47.2604	4.43757	13.2248	0	23.5929	8.4266	113.505	15.872	8.30445	7.51414	10.1281	0	12.5062	5.76998	0	2985.79	6.56763	3.22391	10.0107	47.1097	46.8914	0	13.1388	8.84928	9.44574	11.49	14.345	16.3597	5.52829	5.09346	117.564	31.2416	165.057	113.737	186.462	17352.5	14.8911	217.27	446.784	33.3066	6.13641	11.1088	35.623	734.887	10.1554	18.1417	11.8459	5.42145	23.4911	2.54268	6.96241	7.46417	465.482	28.0242	392.89	39.2614	93.2184	18.4833	22.3407	138.905	23.44	5.54458	29.3452	52750.3	2.39721	8.13724	39.6671	141.816	20.2431	90.2613	83.9418	24.6309	175.724	57.3049	12.643	30.2184	437.171	599.685	341.187	63.0768	381.517	192.657	325.506	9.27292	875.771	30.4207	14.0064	4.64426	189.491	25.4322	171.308
taurine	22488.2	104.441	4225.86	3981.46	24.4525	11705.9	486.332	7583.43	13508.8	7664.66	8328.28	101.15	5501.69	39.0611	98.3902	7968.49	14684.1	2067.9	798.245	60.289	2079.83	121.15	95.1682	12998.5	72.1204	64.6587	13509.2	29.9431	86.5992	19536.1	7333.24	434.316	69.6741	317.574	15302.8	126.186	4605.71	9042.45	6293.71	14.8305	1176.45	5980.67	6039.04	8340.21	7178.35	85.5778	16980.7	66.2416	44.5585	3839.02	1340.42	11413.1	160.169	118.076	5761.08	11655.5	13308	6942.42	4580.06	33.0975	13.2435	7766.97	13941.9	2031.43	119.137	13896.9	11989	8020.6	3307.47	81.4648	936.755	14004.3	18210.2	11813.9	6356.46	10187.7	1304.56	186.696	5043.12	163.249	49.7713	3303.12	5479.08	185.74	61.4852	183.84	531.692	22.7016	68.4311	72.5137	5624.13	499.065	20.818	278.396	6286.45	11618.4	58.8386	99.8195	993.143	9583.16	1917.3	167.848
taurochenodesoxycholic acid	26.4609	20.8145	0	29.9669	15.5281	376.405	130397	261.148	91.9393	202.929	123.494	178.571	150.424	31.2756	0	131.533	0	509.143	202.919	68.3103	32.7139	70.6824	16.5282	89.3371	18.974	37.3464	163.846	0	15.717	50.8802	21.6152	52.3079	37.2278	29.3374	71.9926	60.7821	58.4818	739.248	204.895	0	27.1923	20860.8	65100.1	939.205	377.256	42.3918	55044.4	20.2384	52.7074	475.699	28.6895	1951.86	0	27.1708	166.994	131.717	16.8457	1105.28	66.1125	0	0	12.5177	45.7509	28288.2	177.932	8420.89	406.631	84196.5	554.103	29.6278	73.1243	34673.4	178.244	241.02	150809	697.606	44.1168	236557	209.678	53.3965	180.273	542.217	101.592	91.0789	36.3048	21.4885	93.2099	0	24.836	66.5419	357.984	0	24.095	1318.85	319.275	1381.25	0	32.0122	52.1535	340.896	2042.71	64.8091
taurodeoxycholate/taurochenodeoxycholate*	142.87	26.8873	105.003	69.274	8.67092	63.6734	6922.54	66.1754	102.486	54.3087	41.816	51.1173	49.0418	38.2808	0	32.3821	40.1265	44.7621	24.5965	12.1487	9.49147	16.1809	7.89419	76.6362	13.6282	14.5791	19.6005	26.6236	20.3308	71.0829	63.222	11.553	28.3604	23.296	206.981	46.8161	31.4333	172.364	14.5486	10.0649	50.1596	1130.98	2690.3	126.323	22.1547	24.6195	2701.95	31.3743	44.3354	22.8365	0	2048.52	8.93042	26.6756	10.754	120.841	112.235	138.057	81.7359	47.2695	0	41.4924	7.29355	5444.22	21.8227	626.641	115.483	2949.38	48.3724	26.6515	24.3682	5795.19	294.602	186.81	9757.75	175.938	0	12643.4	15.1336	20.0897	247.912	48.0485	39.7077	91.9923	52.7566	27.034	16.5569	27.1158	88.385	44.9211	138.934	26.3462	49.7535	65.0392	38.9646	151.693	15.7583	76.2067	43.2437	27.0546	103.263	24.1956
taurodeoxycholic acid	1478.14	33.0416	62.0994	319.145	0	7.54341	0	316.531	603.874	240.357	238.364	206.642	638.932	0	30.674	409.761	524.579	0	55.5742	37.0204	26.4848	41.3952	23.1923	914.056	31.7154	23.8118	102.284	0	12.4796	707.566	523.115	16.3144	101.499	19.9142	1947.66	0	156.973	1194.4	53.945	12.3052	41.2812	0	0	0	0	136.237	0	37.4108	19.4645	0	27.1085	26252.5	8.03531	0	0	1221.73	953.622	361.938	328.32	14.4929	28.9786	441.895	0	0	0	277.813	7.67695	0	354.726	0	57.5739	52130.4	2869.75	2556.88	0	868.615	22.5602	0	0	8.6506	305.028	0	25.7898	265.938	35.2	85.0243	23.7649	24.4969	0	26.4011	773.152	0	18.2981	0	0	229.998	9.02505	13.6209	23.6642	107.145	777.653	0
taurohyodeoxycholate/ tauroursodeoxycholate	0	0	0	43.2676	10.3106	208.045	1619.48	52.8553	40.7437	84.702	0	30.4079	0	0	0	133.039	0	0	0	0	0	0	0	0	0	0	45.7379	0	0	0	0	0	0	0	0	0	0	59.3137	40.0793	0	0	526.134	343.418	345.336	0	0	90.6023	0	126.306	0	12.9183	103.331	0	0	0	37.1029	44.2663	255.455	0	21.9955	0	0	0	74187	0	2769.13	591.32	115.682	92.1869	0	0	2637.15	170.343	66.8612	379.557	725.915	0	177.542	34.1596	16.0999	0	77.6304	0	0	0	0	26.2782	0	0	0	0	0	0	0	27.9765	371.014	0	0	0	75.2567	81.4036	22.5056
taurolithocholic acid	445.112	0	0	365.399	0	0	54.9822	31.5552	63.5703	0	121.654	0	130.549	20.8361	0	68.4143	241.333	0	48.8765	0	0	0	52.5784	226.498	0	5.32481	15.4304	0	0	479.131	38.9755	0	15.2206	0	192.155	0	21.1146	239.106	10.1332	38.1879	0	0	18.8362	0	0	27.3134	0	0	0	0	0	3854.64	0	0	0	200.252	192.758	214.531	295.226	0	0	137.912	0	0	0	0	0	71.5344	125.12	0	0	13013.7	652.837	720.864	20.0895	98.093	6.24727	47.1657	0	0	44.0048	0	25.2914	70.7391	0	0	0	0	0	0	394.525	0	0	0	0	53.0129	0	0	0	0	130.129	0
tetradecanedioate	200.958	241.183	323.626	95.25	162.599	72.4836	446.093	157.929	88.3851	85.4319	138.245	122.633	208.661	172.513	112.825	229.836	161.898	111.815	498.308	204.838	186.85	269.497	214.324	258.804	124.833	273.927	250.607	272.606	134.575	193.528	152.198	99.3449	202.524	148.799	138.45	359.387	239.672	127.194	147.678	63.5666	293.807	207.696	289.132	104.873	322.37	219.842	204.078	248.773	144.568	246.454	173.226	90.721	107.023	150.769	399.537	142.228	110.025	262.693	182.577	119.697	165.037	110.376	567.832	207.311	135.223	113.341	21.4066	341.134	222.126	261.443	250.327	110.071	107.946	170.009	245.152	153.201	93.4668	497.097	225.354	133.806	177.652	170.457	287.544	202.062	184.286	195.888	152.399	167.215	229.675	180.833	292.523	149.171	232.258	235.957	196.428	267.003	138.082	213.823	147.518	163.583	457.624	453.98
thiamine	35490.5	2842.03	2790.67	407.506	1566.72	261.972	41.273	611.142	3476.76	37712.7	1572.5	311.611	81418.9	3415.92	97488.2	17442.5	1990.16	218.273	4683.52	4267.48	4019.07	6087.26	3206.51	3651.28	3584.11	3773.54	264.363	4999.72	3490.45	11403	2417.47	2172.71	4327.8	5040.12	2776.03	7140.6	733.782	1106.34	1164.04	1631.07	3123.68	1496.85	192.669	1276.8	232.69	2754.74	40.2391	1957.27	1122.35	393.472	3515.44	2265.99	1444.66	15346.8	1255.27	1622.71	2009.73	1726.82	1562.29	2007.29	1856.73	18065.5	383.033	47.2764	9854.02	1773.42	984.138	234.412	989.024	2020.89	18862.7	1157.61	1677.2	1983.89	41277.7	39005.2	1493.38	453.756	151.04	1299.52	2060.82	341.389	4081.75	3597.54	1905.89	3730.14	1832.61	3403.3	585.901	4550.92	30416.4	1114.79	1111.78	79.8791	361.223	201.498	1583.54	1370.98	1393.86	867.74	833.638	2756.89
threonine	5052.04	122.235	5117.71	92.9119	3468.78	894.149	49.7467	1117.05	2681.03	2590.69	3387.81	245.539	3844.39	2537.72	2024.84	4181.1	2963.62	2128.2	4902.25	4203.04	3370.75	4674.34	5441.9	1766	2583.65	4383.16	8598.1	2811.9	2916.25	4628.12	2337.51	2891.1	2547.28	3572.75	3380.73	3188.93	4573.46	5028.98	1620.34	3176.66	3329.48	1062.3	4130.23	2087.32	2987.32	678.293	4170.37	142.805	457.274	12236.4	4555.76	4295.32	8285.24	4006.29	15268.4	2877.22	3959.46	7048.95	6727.94	3807.79	3409.06	4219.12	5684.83	3268.37	714.407	3821.73	3341.58	6441.06	3964.34	2492.73	4939.21	3214.31	3138.88	3943.63	12389.7	2321.61	728.463	141.515	31.9289	462.091	27.8445	147.74	126.228	210.094	1335.71	102.387	1045.32	683.793	39.485	187.914	60.7152	131.107	1180.65	53.3499	4015.5	2242.24	2246.85	436.253	362.844	2761.2	2683.32	1629.89
threosphingosine	1308.99	1932.04	721.571	732.586	3321.76	4678.2	1466.13	1366.45	2781.01	3385.36	3494.91	3640.95	1876.28	540.057	6827.09	3114.83	1549.66	874.402	818.67	2012.96	1998.16	833.138	239.245	635.579	764.176	341.551	1656.26	311.459	333.211	4919.72	3492.04	1886.63	493.44	445.208	1026.45	279.813	1626.9	4185.22	3616.83	9162.62	530.406	36.3536	4831.26	3799.05	6779.1	583.487	1218.81	519.44	726.968	1600.03	3331.32	3383.79	1232.29	670.72	1163.74	5276.9	6716.85	835.146	838.1	21327.5	17066.8	3298.08	1287.1	3256.04	1120.81	4425.24	3271.42	3818.41	1085.61	18337.4	4281.69	4832.12	2059.64	1099.97	1853.94	2362.14	1818.61	6276.88	5011.76	6628.19	631.864	1886.57	414.581	468.164	6689.75	6432.6	7054.56	679.871	2507.65	276.799	608.916	4256.84	179.299	999.026	5866.98	3932.02	13640	5158.89	9592.41	1537.03	4037.19	945.133
thymine	249.132	34.5946	2389.58	78.6808	3736.01	459.872	189.921	625.624	2869.27	973.146	232.574	123.545	1763.29	2894.72	2807.03	1552.49	3043.83	709.834	1152.19	1970.7	2228.27	1047.29	1667.75	615.841	2131.59	4113.47	550.739	1512.58	1824.25	2338.07	1279.81	1493.66	4240.31	2430.82	1144.6	2958.34	162.155	460.447	1104.85	446.546	4687.35	331.694	873.884	71.2041	2136.11	218.781	510.921	51.5886	102.249	801.45	935.161	2124.91	1399.12	125.069	673.841	920.198	1591	2041.47	1406.51	1568.85	760.258	649.247	939.894	102.86	197.967	2754.78	489.05	896.931	545.374	2279.89	947.377	2935.84	736.746	1230.79	62.9895	284.355	1235.31	610.8	26.6872	49.3577	27.4748	14.0914	37.8798	96.8102	97.9088	78.3451	201.349	62.7809	60.0106	145.153	17.9039	42.8191	259.249	599.235	822.725	333.092	215.747	85.5179	62.3148	570.584	477.61	364.047
