Metabolite	PRISM|7122	PRISM|7147	PRISM|7150	PRISM|7153	PRISM|7184	PRISM|7238	PRISM|7406	PRISM|7408	PRISM|7421	PRISM|7445	PRISM|7486	PRISM|7547	PRISM|7658	PRISM|7662	PRISM|7744	PRISM|7759	PRISM|7791	PRISM|7843	PRISM|7847	PRISM|7855	PRISM|7858	PRISM|7860	PRISM|7861	PRISM|7862	PRISM|7870	PRISM|7874	PRISM|7875	PRISM|7879	PRISM|7899	PRISM|7904	PRISM|7906	PRISM|7908	PRISM|7909	PRISM|7910	PRISM|7911	PRISM|7912	PRISM|7938	PRISM|7941	PRISM|7947	PRISM|7948	PRISM|7955	PRISM|7971	PRISM|7989	PRISM|8095	PRISM|8226	PRISM|8244	PRISM|8264	PRISM|8283	PRISM|8332	PRISM|8336	PRISM|8361	PRISM|8374	PRISM|8377	PRISM|8406	PRISM|8452	PRISM|8462	PRISM|8466	PRISM|8467	PRISM|8475	PRISM|8483	PRISM|8485	PRISM|8496	PRISM|8523	PRISM|8534	PRISM|8537	PRISM|8550	PRISM|8564	PRISM|8565	PRISM|8573	PRISM|8577	PRISM|8589	PRISM|8591	PRISM|8592	PRISM|8624	PRISM|8629	PRISM|8675	PRISM|8683	PRISM|8746	PRISM|8749	PRISM|8753	PRISM|8754	PRISM|8758	PRISM|8764	PRISM|8765	PRISM|8774	PRISM|8776	PRISM|8783	PRISM|8784	PRISM|8788	PRISM|8789	PRISM|8794	PRISM|8800	PRISM|8802	PRISM|8806	PRISM|8807	PRISM|8841	PRISM|8843	PRISM|8847	PRISM|8878	PRISM|8892	PRISM|9126	PRISM|9148
1,2,3,4-tetrahydro-1-methyl-beta-carboline-3-carboxylic acid	210.752	23.7645	359.982	190.391	45.9292	9.97964	37.7002	32.5376	75.2186	82.7138	101.724	33.0444	100.998	592.864	99.6607	49.2859	245.24	65.6484	76.6127	30.5471	763.987	225.442	249.915	43.27	277.127	411.318	11.6805	130.804	175.906	745.407	396.93	310.744	600.25	49.4962	91.017	74.9699	8.92318	55.806	83.0106	77.468	118.231	47.8845	0	15.1896	21.3066	241.303	0	86.1763	74.4084	25.8303	310.351	144.208	10.3398	91.3197	27.694	132.379	82.5763	37.043	305.677	30.802	69.207	136.377	0	24.5652	28.6131	130.071	139.637	0	31.0141	334.732	98.18	158.547	51.2666	158.061	174.778	67.3489	14.5036	0	50.9968	66.8732	251.878	22.0876	55.2679	643.751	318.789	8.71072	50.8732	129.843	53.7234	328.882	74.0934	31.3612	19.563	33.738	8.82836	0	0	61.4675	22.4909	105.397	41.1595	48.3834
1,2,3,4-tetrahydro-b-carboline-1,3-dicarboxylic acid	63.0097	62.714	308.907	28.3744	50.5728	8.41296	0	66.047	24.8839	19.0402	27.2566	26.284	124.372	56.5733	75.015	55.2298	116.467	25.9269	207.604	103.389	165.607	218.936	153.929	149.403	0	102.904	0	277.747	156.231	140.251	93.0417	97.8738	129.836	85.6131	40.8567	155.935	13.9859	17.024	21.5924	13.3245	90.3147	58.1956	0	20.0763	0	91.9574	0	78.3617	175.966	32.7725	31.8716	13.4262	9.80975	73.9552	64.244	19.2308	51.7742	97.0359	114.013	14.1885	12.9684	19.0166	0	0	22.1016	19.0649	52.27	0	45.3563	138.82	67.812	55.4971	20.8088	0	42.2241	40.4561	0	0	80.3332	21.8356	58.4474	30.7882	105.744	115.717	65.8969	0	39.8839	104.755	37.2878	94.6129	51.3168	38.7091	0	0	0	0	0	0	31.4336	83.284	75.1501	0
1-3-7-trimethylurate	873.165	690.634	686.706	348.698	798.689	1182.57	220.943	1232.39	466.765	987.381	471.087	2358.8	55.2227	215.957	372.47	254.563	244.263	18.4484	952.639	327.996	443.386	380.197	453.848	743.955	364.847	992.547	7.69112	11804.7	765.699	225.271	301.288	45.6177	35.3132	460.403	822.364	14030	348.694	136.764	273.165	161.027	93.1425	857.336	32.2331	686.402	0	3906.38	227.125	18603.7	97.3081	322.311	1107.56	241.88	523.946	128.994	135.579	2827.73	238.309	450.396	1031.43	817.092	565.389	654.208	37.6157	648.865	341.608	303.816	311.406	2279.48	260.357	865.414	10835.7	69.5477	1002.28	910.89	67.0117	0	118.034	706.27	715.357	200.898	31275.8	29.3057	12583.6	2654.56	259.212	284.714	543.733	370.527	1173.08	16709	187.039	224.001	8088.28	955.475	340.054	348.81	67.2142	0	567.767	252.534	123.428	86.8816
1-methylguanine	17.1701	0.0277991	0.0204992	0	63.307	12.718	288.785	0	21.2633	49.9001	3.83676	0	106.9	0	0	63.1329	25.1331	137.9	247.218	235.361	249.77	179.884	42.6932	292.881	0.0591182	54.2887	59.8704	91.3507	48.5104	0	206.053	124.956	0.0244175	328.266	90.1934	62.2186	5.70012	21.8919	31.6182	0	165.872	0	210.651	27.3856	38.9298	80.0475	232.859	14.4647	24.2697	611.811	0	11.9095	0.0206504	43.0955	880.069	5.81981	11.4166	234.688	9.55761	0	0	0	83.8221	824.938	13.1904	0	67.3887	83.8733	33.0104	0	175.967	0	43.883	78.9617	2550.21	0.019287	78.1035	247.195	62.54	8.49914	16.8524	74.14	54.9012	12.1238	36.0236	78.0996	0	17.3685	25.7112	36.7409	0	0	34.9416	0	88.154	810.953	14.1688	0	0	61.4895	241.023	20.4829
1-methylnicotinamide	454.239	103.944	0	0	6.17649	10.087	35.0669	152.784	241.846	149.571	0	16.5426	41.4705	0	10.7161	9.75797	25.0367	9.65934	179.582	16.1911	348.688	0	107.945	413.698	0	10.3102	0	0	0	89.6118	28.4542	121.537	0	316.327	260.016	108.155	79.3948	74.894	79.6285	104.36	0	328.743	78.5834	105.48	83.1012	37.1012	116.516	8.38761	29.1217	12.0036	114.14	187.095	50.7761	100.86	111.497	282.815	295.172	0	146.816	12.2295	0	5837.36	21.1918	141.029	239.025	237.192	64.2754	585.403	0	0	329.099	128.187	220.011	434.423	140.749	0	40.7127	68.4352	55.15	6.07183	0	45.8164	49.7692	0	0	0	0	0	0	14.2914	136.677	0	6.91047	40.5641	74.2023	132.723	16.3497	0	0	261.05	116.796	253.169
12.13-diHOME	507.955	162.325	123.417	1027.72	566.753	147.648	4120.85	41.0762	931.189	273.897	2743.15	702.694	904.689	456.799	45.3954	433.5	286.362	875.593	1509.47	260.575	1491.93	1633.49	221.023	765.166	3161.24	356.969	2091.95	96.0652	424.183	135.842	515.256	964.594	127.484	1221.92	919.591	193.994	255.187	392.573	133.254	1008.92	1009.33	1060.17	226.278	544.664	358.898	659.263	1301.42	80.7371	354.434	243.628	2000.35	3459.37	369.122	587.345	891.985	1387.24	1253.84	1882.82	0	1283.45	773.342	1157.82	244.253	802.304	447.28	423.986	577.656	1555.51	744.081	0	1948.08	2618.35	910.864	578.391	167.172	438.239	1970.06	742.494	1978.23	1124.6	222.398	155.616	294.695	93.964	360.096	774.065	303.749	384.707	589.111	251.194	549.655	1492.69	207.905	474.014	230.843	1265.76	775.657	44.7084	481.795	3024.1	91.1345	319.086
13-docosenoate	311.94	0	31.5585	48.5136	49.7607	43.6943	40.7194	15.2236	0	24.463	0	18.1762	44.4828	0	15.563	51.2329	45.5515	28.1787	0	35.9519	0	0	0	15.8333	0	0	0	634.523	14.5582	0	0	35.2866	0	0	0	20.708	0	29.2893	38.856	26.7408	49.5604	0	0	288.139	0	38.2359	0	12.8715	19.6776	0	0	0	9.41466	55.7733	0	48.207	0	205.458	10.7156	0	9.19694	0	0	27.753	0	0	0	0	0	0	0	195.133	0	0	0	12.061	11.7885	48.904	83.6927	15.4742	30.7788	16.9574	123.264	14.6281	16.6442	51.5509	0	43.2814	17.8822	15.1712	38.9087	0	51.0551	0	0	0	16.9685	26.9716	15.8543	10.5345	45.2909	0
2-aminobutyric acid	356.396	12.3401	791.694	19.8677	265.094	7841.86	15.3182	250.658	341.89	4056.1	843.62	35.3852	86.0906	950.261	2246.22	100.885	4813.04	9038.28	323.352	1086.07	262.825	297.3	893.65	876.781	612.285	437.812	949.275	622.109	567.115	696.962	78.974	538.057	895.743	206.618	453.31	360.271	3638.04	177.608	130.138	386.958	1305.16	184.112	1077.34	285.89	1935.62	43.8185	35.2663	24.9017	28.4954	191.646	3167.18	441.255	1494.46	243.75	52.2122	326.785	368.891	365.638	173.658	247.143	3288.49	780.887	2264.91	456.449	4087.98	116.754	879.409	449.33	259.563	967.826	126.197	1154.79	55.4083	1095.98	130.936	107.964	492.493	105.336	142.593	53.6537	9.69961	5583.68	11.2719	13.2673	53.8397	50.8123	46.0675	28.2648	13.9701	18.061	29.4803	62.1021	22.7682	759.271	802.99	93.7563	87.1465	15.4093	24.7285	2867.9	88.0569	103.06
2-deoxyadenosine	20.7759	0	21.0533	0	38.4573	0	0	0	6.61484	18.5239	6.216	0	20.6862	36.2914	0	6.5259	71.5155	27.9163	24.0345	30.3472	147.734	1663.96	92.4424	180.535	7.41463	25.5551	10.6363	379.11	27.9395	47.7917	48.783	560.962	26.2944	107.722	104.632	30.4786	12.7149	35.1493	16.1724	3.56062	52.5439	15.0792	0	4.20907	192.658	0	17.3156	0	0	8.28024	39.5517	0	56.7146	0	9.08497	8.28672	8.06212	72.152	93.8934	7.91868	0	15.2345	70.0558	0	2793.94	7.19866	7.81628	50.3586	88.2213	8.11249	48.1276	9.14265	20.2407	33.5949	6.2283	11.7623	25.0066	0	0	0	29.2066	0	0	26.4743	0	0	0	0	0	289.362	0	0	15.5027	0	4.48559	18.2259	0	0	0	10.1177	7272.25	7581.22
2-hydroxy-3-methylpentanoic acid /  leucinic acid	295.788	26.1544	5721.94	57.3873	111.748	1461.04	135.227	734.9	1179.57	512.329	809.784	241.494	239.427	884.625	1414.41	1372.27	763.505	9157.78	1090.19	423.51	882.385	202.158	184.773	304.965	489.869	1477.94	7280.36	291.917	192.251	420.543	257.838	1153.91	920.691	3750.49	244.853	110.249	504.056	932.247	1014.6	1041.8	1185.3	7208.15	3083.23	1313.57	10596	79.0152	843.715	69.4248	19.1761	7176.79	6002.59	911.404	690.472	443.457	3310.64	336.551	213.43	360.07	802.108	188.015	87.9089	511.517	6933.18	267.841	649.173	2586.47	244.744	2334.69	266.607	374.546	424.822	1564.4	928.09	1058.4	17992.2	830.657	8690.69	1320.29	1354.52	52.8861	31.7746	3494.39	37.0467	45.9907	91.9249	17.7537	140.351	103.361	0	100.459	65.3607	533.07	90.037	323.02	554.911	1226.17	350.648	163.152	146.311	5937.4	233.008	56.8216
2-hydroxyglutarate	202.812	134.078	3340.93	409.949	1224.01	1117.62	146.085	882.498	1382.11	645.519	518.777	369.582	1093.64	1435.54	1907.53	1773.84	1134.08	8292.87	2538.9	1449.58	1102.62	507.629	522.314	1336.05	167.396	779.181	1898.8	581.716	386.49	385.78	384.202	3412.52	433.562	731.863	523.85	687.822	981.701	56.8718	214.758	510.577	565.745	6115.06	1654.54	1080.63	348.068	665.351	415.252	138.725	496.326	2910.35	1192.9	111.517	253.744	292.744	1136.53	43.2844	101.168	1577.41	139.463	812.234	146.927	0	1690.73	0	2796.49	0.295502	218.58	140.688	963.308	197.928	816.524	90.219	1492.53	326.388	15278.9	20.1802	202.335	1068.89	198.875	869.413	627.267	541.236	794.053	760.962	471.347	114.855	455.166	698.23	180.097	1376.22	1111.66	294.66	2667.91	179.26	11.9373	250.966	298.517	382.461	783.239	1899.85	127.07	727.845
2-hydroxyhexadecanoate	22302.4	14313.8	32732.9	18518.8	8320.5	282.857	729.921	25285.3	3150.6	678.141	224.689	24444.8	3936.23	5346.37	6497.18	7674.86	19856.9	249.868	1241.93	19726.6	12465.5	6103.72	8614.88	6746.51	2701.04	6832.54	657.348	1505.03	12591.4	3731.01	4250.49	1338.74	8327.96	3597.02	6563.78	5224.51	397.925	4273.28	22861	1414.36	9389.77	531.553	4021.83	833.859	361.953	22864.4	326.671	31401.4	39500.9	535.002	987.478	3682.99	2769.71	596.404	1442.5	1925.65	19977.2	1955.75	495.361	1575.88	570.634	10184.4	5821.5	798.668	512.952	706.007	440.603	1310.48	1457.51	10384.2	2072.22	437.738	3237.66	8640.15	1699.32	176.712	320.294	9385.47	2340.15	2975.95	29947.7	767.244	20222.3	9636.35	11542	13635.9	2496.95	37256.8	23385.9	18370.9	1160	1859.97	22210	1325.13	665.724	448.255	4515.4	2522.92	1165.84	446.767	16082.4	570.361
2-hydroxymyristic acid	505.271	209.747	511.882	269.578	142.497	19.4416	58.6616	363.353	55.2289	18.7469	15.9691	903.345	101.128	267.835	248.713	87.3344	432.737	23.8313	74.0903	413.929	327.812	167.974	458.972	180.887	73.2321	342.117	25.2412	205.419	366.783	228.566	111.032	48.5215	320.354	116.046	126.79	122.523	29.5309	99.8717	478.778	53.4317	325.766	68.0603	80.9447	19.1955	31.8854	367.591	17.3051	910.335	2191.84	34.9428	27.5613	134.457	123.05	24.1257	77.8982	65.5099	362.994	71.443	29.5602	45.7452	27.4062	216.595	99.7202	43.5643	31.7686	26.3251	17.5771	41.1419	50.9475	290.554	79.9291	34.0382	104.493	231.357	95.5999	16.6592	35.6521	635.506	59.1199	47.5009	387.212	43.7053	524.246	524.652	176.546	262.716	58.8622	724.121	330.482	293.68	58.8396	34.9348	222.624	32.882	25.7009	29.8509	98.3095	50.144	44.0687	22.3087	305.73	46.8403
2-hydroxyphenethylamine	268.093	33.0793	120.791	393.516	254.946	7449.21	717.918	1618.88	48.8306	7398.91	15.4147	290.376	9.65754	52.4612	162.989	19.4983	30.9104	5448.41	83.767	97.386	44.7713	78.7013	143.588	102.154	180.104	75.5695	2003.24	62.7172	77.3734	63.3541	41.6152	23.7378	1046.94	575.301	113.368	130.451	1760.64	2868.24	3293.39	79.2514	641.212	13.3408	2230.67	5532.02	225.824	184.727	1899.92	17.8207	64.3468	10630.7	99.3957	2029.27	1223.67	1215.76	7046.93	220.777	3064.32	27.658	99.2704	610.331	189.421	328.654	337.423	215.238	1451.03	5418	406.962	762.009	98.7492	364.6	78.0494	1001.46	37.0284	94.0801	5033.29	2696.92	4917.24	22.7882	818.63	518.254	22.4867	9924.89	50.8917	89.4181	56.2551	30.9417	96.1907	335.78	29.9255	34.7574	59.9518	138.926	0	0	2590.93	232.517	1812.28	1502.74	83.8529	109.65	57.4902	13.0648
2-methylglutaric acid	119.766	115.556	381.781	43.0961	400.394	48.4604	10.9577	28.8922	998.704	39.6429	106.149	135.64	280.431	542.713	476.602	175.266	669.773	458.358	301.176	253.203	323.939	570.048	1091.88	419.493	738.635	580.723	15.7453	716.344	455.16	739.229	279.712	244.064	1087.56	357.663	153.846	930.029	1073.87	59.3678	66.0576	728.962	366.634	20.0866	13.9448	21.079	8.07486	152.02	8.06733	181.714	165.189	12.7574	573.975	139.74	425.197	448.517	29.9746	334.739	1207.83	297.013	80.6011	103.628	601.343	215.479	25.0836	15.468	94.8662	14.474	29978.6	47.5906	167.046	5009.87	298.184	111.134	896.73	535.602	15.3902	51.2175	4.98128	14.3849	8.9943	45.1465	154.554	9.19516	178.498	331.941	187.614	132.907	40.5803	72.0678	112.087	232.623	118.273	87.286	253.077	13.831	22.5588	13.3629	19.639	127.743	72.7072	60.2991	2537.95	247.346
3-methyladipate-pimelate	0	751.737	0	55.0089	6.99238	1.37894	0	26.2881	0	71.61	396.224	1425.24	362.339	1023.59	439.309	2.50236	168.697	57.829	1940.53	1276.97	467.789	3198.85	3968.36	1491.57	1227.93	451.218	0	1274.93	470.677	1604.49	360.064	428.35	6186.88	690.1	598.727	1852.9	8.35356	8.9687	75.3943	0	592.883	0	0	0	7.25361	757.514	0	1206.92	1224.03	0	1807.66	98.7768	87.3124	838.783	2.56989	48.8654	378.801	1314.6	10.0451	73.3977	13.074	0	43.6423	0	94.5445	0	0	0	6.16832	213.371	77.512	1.02162	582.426	373.72	0	0	0	0	3.08928	210.893	1470.38	0	14.4142	2623.38	728.265	565.217	205.215	593.16	962.751	739.269	1263.13	863.008	260.994	0	0	10.7909	7.17774	22.5316	100.217	368.232	336.753	1035.61
3-methylhistidine	21.8923	201.838	65.509	367.558	336.853	180.322	63.4967	175.503	130.662	39.2692	1417.7	57.1758	40.8723	86.839	61.9027	554.584	57.8753	344.251	854.55	615.108	192.119	97.2309	71.3263	1230.07	408.249	34.9924	202.657	31.5934	246.505	1432.38	56.1879	384.838	98.0382	35.6234	195.867	509.136	106.714	28.0786	23.809	47.8987	61.0465	211.089	192.262	35.4379	196.883	232.345	99.8745	52.4352	24.7593	381.485	1016.05	859.023	675.002	84.032	568.326	305.983	29.2983	381.699	44.4059	720.968	437.929	29.8829	151.983	27.4433	368.538	412.573	1036.44	846.752	708.752	43.7283	157.003	53.567	322.879	336.403	275.318	609.71	1190.76	51.4495	213.067	290.524	526.343	389.111	417.14	127.562	70.7411	74.1961	47.5781	23.6943	1571.86	33.015	360.681	517.309	152.17	277.509	325.559	352.573	96.5839	1219.29	208.303	246.776	408.417	52.2922
3-methylxanthine	5.70761	594.513	482.68	41.0858	315.692	222.309	128.149	268.881	580.382	256.891	236.351	449.051	193.617	289.715	265.096	141.437	313.751	17.6152	84.0162	0	264.726	112.262	134.316	76.2841	403.865	7.85295	59.5215	0	196.231	262.057	667.629	0	193.592	683.505	212.132	31.6525	244.876	69.0187	354.137	37.0429	153.991	163.41	39.6399	299.476	26.2133	11.4662	0	0	55.6486	4.57385	838.685	559.385	231.686	44.8418	14.0125	849.898	691.854	242.38	259.232	359.515	601.397	255.387	70.1461	0	173.773	107.616	168.229	146.398	273.245	267.139	42.8545	114.628	456.192	883.583	0	154.366	173.646	23.0621	910.467	69.9293	0	0	0	0	50.9682	294.015	233.887	0	0	0	136.312	198.967	0	98.5853	159.945	65.7455	13.6554	18.7952	279.001	604.145	249.949	58.4251
4-guanidinobutanoic acid	12.848	7.94633	11.7399	46.1612	20.3021	0	23.8968	46.3821	189.427	663.783	229.934	74.9796	210.724	33.9272	26.5694	217.232	11.2462	135.529	73.8201	67.8255	249.411	24.054	20.1356	127.78	22.3084	20.8635	46.659	30.9185	43.5254	6.5951	735.866	82.6734	18.2622	33.5591	24.7986	17.8372	74.3815	119.665	22.8194	525.296	26.5368	724.58	27.5999	171.511	10.5882	22.0376	27.6865	9.76003	6.44486	16.4453	175.314	49.2077	8.49882	294.595	75.1013	201.085	125.574	118.157	442.102	480.004	223.549	207.75	82.4323	20.5498	48.8572	83.7454	304.912	100.313	146.427	28.0538	70.3582	168.065	301.478	228.743	44.2281	284.956	87.4132	0	34.9129	27.9393	0	0	0	23.0341	6.07069	12.7634	7.82482	0	15.2298	23.6184	104.564	55.3335	19.0548	13.2098	23.9034	28.6191	52.7867	0	51.1241	189.904	39.1938	867.009
4-hydroxy-3-methylacetophenone	142.129	91.9306	142.669	164.544	35.4285	28.9933	64.6253	87.4351	43.3796	10.0346	31.8355	138.3	52.3007	249.869	114.912	143.315	91.3003	2.70173	147.961	128.221	108.555	162.189	185.585	207.61	123.399	195.435	28.5853	111.382	228.194	92.1451	365.66	47.8221	324.974	228.752	150.554	139.634	10.1555	21.5624	20.8373	28.0311	142.735	11.3995	29.4307	9.4646	27.5855	128.923	0	247.197	156.299	0	109.285	41.9167	48.0456	63.7361	4.66352	40.5607	87.975	45.0116	36.0876	27.0016	66.5796	46.0053	18.2694	0	0	50.4044	35.2745	0	49.7036	117.868	116.765	26.3459	34.1835	127.016	78.9091	63.1119	0	22.2004	23.2103	65.0392	208.256	130.756	256.806	40.6959	237.418	65.7828	134.819	169.519	262.349	249.417	559.259	61.5699	95.4712	0	44.9098	14.562	84.3068	119.574	141.508	250.04	27.998	18.3351
4-hydroxybenzaldehyde	1492.37	544.207	5126.41	376.044	302.201	647.134	590.192	343.584	602.873	158.012	217.841	528.233	477.562	564.294	4984.54	1230.53	5963.39	539.246	505.247	1076.89	383.448	888.067	970.925	552.905	1650.35	728.203	307.436	1103.94	1006.73	939.095	195.935	102.484	1965.9	861.061	1022.59	357.065	108.654	796.623	210.621	673.755	1530.27	1708.32	201.564	199.577	105.155	406.39	49.9297	346.463	357.67	100.762	8923.29	2150.66	1898.35	345.993	430.213	442.053	610.857	1366.71	439.066	387.979	717.803	631.675	1233.69	100.482	2301.62	1364.21	1976.03	193.082	319.19	3519.2	625.473	1590.99	280.5	2778.27	64.5131	1466.59	152.692	365.3	887.1	548.438	369.334	354.695	466.344	289.099	413.464	598.246	391.985	308.035	222.828	419.66	267.328	487.866	1214.39	228.197	261.591	463.085	125.318	138.299	272.519	278.277	290.402	1214.62
4-hydroxystyrene	603.603	345.589	32.4742	185.238	801.631	0	0	532.358	1767.87	0	1176.73	25.9046	2211.46	48.9818	306.247	1511	349.841	52.2929	151.741	18.2849	317.372	1908.85	16.4705	27.9442	68.5789	32.0888	19.8462	0	42.8755	1069.47	1391.55	905.257	26.5629	18.2664	1315.48	37.1544	0	409.575	0	236.535	442.006	0	0	0	0	0	0	0	0	0	255.724	1618.1	0	1487.45	0	3064.37	286.16	2062.41	1984.06	455.865	442.127	342.015	195.832	0	507.067	18.1951	859.188	0	1151.3	0	33.1672	4.07533	1413.23	957.736	0	351.853	141.79	0	0	228.188	26.5657	0	0	14.5081	9.9657	53.2049	107.729	570.263	0	24.6307	775.76	563.419	0	0	0	27.7454	78.2411	0	550.165	209.86	156.995	36.8432
4-methylcatechol	1507.62	145.222	30.3396	1240.3	139.924	5.85767	0	23.6063	137.516	4.36859	45.5056	58.3007	11.6314	609.448	26.9635	10.8206	6.97684	5.46784	15.062	6.18548	46.4555	28.591	53.2679	7.77243	321.883	413.006	4.82665	7.51544	53.8827	430.61	289.912	7.6604	43.3802	248.579	22.9243	1079.43	17.0116	12.9877	7.51237	19.2353	33.6426	10.6553	6.49709	5.12887	0	11.68	0	96.9982	19.523	5.37433	4.78926	66.8917	21.0403	60.1485	6.24376	190.67	22.878	6.66397	1192.33	236.136	3.90386	42.7753	0	6.71185	7.14388	3.82926	7.17896	4.54895	30.4519	63.3348	11.4093	101.488	13.4079	5.74152	3.608	9.9754	8.40345	0	19.8712	30.9571	247.78	0	50.9797	1406.3	134.036	88.8205	69.6235	41.6457	1029.07	135.093	380.738	188.693	4.79239	2.7186	6.87884	69.7354	5.0554	4.92089	13.9457	3.63088	5.70474	8.60376
4-nitrophenol	735.922	41.1237	41.2858	36.294	75.1944	147.636	7.77959	628.841	417.287	165.644	270.975	993.739	18.2437	13.0217	139.569	467.689	35.6474	35.3322	95.0783	23.3119	41.9301	13.8464	5.88837	17.423	489.479	26.2162	133.721	23.5653	28.5553	410.674	99.298	45.3677	31.153	455.197	116.776	18.6205	266.266	950.11	69.4985	114.108	63.669	193.674	8.8402	223.65	33.5382	103.364	15.6341	4.67549	138.628	0	1566	97.952	69.069	2334.07	17.0883	9.19237	69.9461	36.4528	28.3886	454.598	302.682	347.541	114.563	9.7505	92.267	184.94	192.886	12.0225	512.008	15.6372	67.2449	93.5208	109.626	32.8415	99.0745	339.869	1.52827	20.4958	51.9057	1547.72	212.089	71.0093	38.0351	185.524	18.7215	34.9125	85.122	61.9669	32.3172	191.184	124.512	543.87	47.8163	54.6609	625.287	67.9014	11.5505	319.009	24.2617	173.927	27.6002	102.399
4-pyridoxate	5751.9	1538.6	8604.46	531.664	2312.11	2975.38	173.878	1769.13	15757.4	2085.87	1305.55	1368.55	13778.7	4212.77	5786.46	7939.11	4669.96	1120.7	6379.78	4941.97	2321.16	6495.9	10493.1	8097.24	4867.92	3491.6	730.007	11.9015	18408.7	7159.11	5070.06	3647.33	8165.68	4751.52	3882.05	4845.82	876.639	1962.73	1387.36	2411.37	6330.13	4880.99	272.143	2277.37	1364.67	1678.46	863.421	1285.61	2215.68	1025.78	2716.3	2798.14	3718.89	6346.46	2861.71	2682.09	5796.88	4718.04	4272.88	3571.61	1467.71	5309.04	368.686	1892.73	2541.21	1739.2	4410.17	4096.18	4200.04	2365.04	4947.07	3298.77	2502.61	3793.39	4770.1	19671	745.176	567.357	360.868	810.004	150.865	557.767	1590.71	3153.17	1601.61	1877.74	3549.28	1663.59	707.035	3460.55	7646.86	1265.61	234.611	702.943	4172.65	1678.65	268.275	1360.25	2870.09	2889.16	1668.94	1068.25
5-acetylamino-6-amino-3-methyluracil	431.897	93.1153	128.008	49.7	9.91597	197.689	31.7262	55.8851	398.164	55.9868	75.9964	72.7122	20.744	42.5448	143.094	39.2638	121.96	0	63.4076	39.6393	55.5934	84.1128	63.5829	469.725	634.706	353.69	0	329.992	490.135	93.8634	74.9586	4.64773	10.2459	291.7	201.425	201.443	19.2386	0	65.5556	75.1584	9.09774	166.711	0	74.9955	0	147.151	14.8255	707.7	9.03773	0	351.35	151.227	26.2645	15.1006	0	110.529	82.5784	18.7484	323.905	67.1246	160.169	53.8633	17.4852	127.098	50.0877	8.5692	43.4075	144.816	47.9587	459.839	224.648	0	416.045	182.554	0	0	0	0	326.804	14.7463	364.419	0	139.98	601.73	23.336	70.604	508.578	46.092	62.9612	461.391	30.783	10.4015	105.602	64.9616	18.0411	0	0	0	25.2163	68.3424	70.0507	0
5alpha-cholestanol	41.9683	24.1424	230.782	515.423	0	0	0	246.045	0	0	0	21.6181	0	393.938	125.301	0	90.5187	0	0	200.715	106.552	13.3809	131.091	25.6572	74.602	116.641	0	180.734	95.2448	140.717	52.9809	21.225	374.171	106.859	10.6043	88.5456	0	0	33.6875	0	237.847	0	0	0	0	84.6974	0	112.786	303.045	0	0	15.1416	55.7637	0	0	0	140.312	0	0	0	4.54806	0	32.8706	0	0	0	0	4.46508	15.6706	135.235	104.272	0	11.4297	48.2935	16.6141	0	0	0	0	0	239.426	0	147.997	129.035	76.8088	0	0	151.527	537.728	248.818	0	0	207.6	0	0	0	0	7.77866	0	0	112.797	0
7-hexadecenoic acid methyl ester	149.753	95.4602	168.997	107.961	149.572	102.272	141.141	274.63	136.518	117.629	100.546	95.0148	255.481	71.1336	146.803	379.391	142.991	74.4292	194.662	151.708	168.075	99.0216	259.977	130.72	105.67	195.996	191.15	167.551	81.9332	134.879	55.6994	107.806	214.933	92.7354	179.588	164.209	306.947	93.4272	135.733	105.059	263.652	89.9916	378.551	110.681	246.677	297.944	91.5277	163.406	116.283	230.643	208.857	116.142	123.367	137.899	466.514	160.459	72.0966	237.452	179.153	136.756	104.62	191.838	355.489	464.305	291.2	240.817	133.47	354.074	123.845	111.602	228.337	88.6813	150.655	153.502	210.443	77.3322	50.1655	393.091	82.293	134.274	180.132	477.847	98.4502	74.8218	140.506	70.5293	184.566	145.116	116.21	164.47	221.357	322.556	224.849	241.131	234.912	337.264	123.189	231.082	185.464	228.997	432.571	510.984
7-ketodeoxycholate	104.679	58.5466	204.919	22.8219	25.3694	0	0	0	47.1619	0	48.3654	45.5304	106.411	207.72	76.1834	78.5838	109.671	0	134.437	169.589	65.6606	168.973	87.8139	96.6818	153.948	194.618	0	130.619	188.279	107.529	33.0454	37.5835	119.819	85.5947	83.6354	131.508	0	25.672	0	32.9042	164.841	0	0	0	0	135.6	0	99.8018	215.496	0	96.8921	57.2908	42.8415	93.617	0	66.6173	77.059	98.6386	50.2714	76.8543	71.7532	23.0589	0	0	0	0	0	0	55.1578	130.866	65.307	36.771	119.681	86.8931	0	38.1081	0	0	0	0	133.9	0	253.601	277.091	62.233	29.3199	98.6354	117.493	189.694	104.388	0	83.1999	211.561	0	0	0	30.4329	81.8251	41.3881	0	66.4494	137.378
